node1,node2,similarity
106-95-6,141-75-3,0.045
106-95-6,625-36-5,0.048
106-95-6,2937-50-0,0.227
106-95-6,608-07-1,0.02
106-95-6,17082-09-6,0.029
106-95-6,61-49-4,0.021
106-95-6,375-16-6,0.0
106-95-6,299-26-3,0.022
106-95-6,5130-24-5,0.143
106-95-6,304-52-9,0.02
106-95-6,1821-47-2,0.021
106-95-6,3610-36-4,0.02
106-95-6,1134-01-6,0.02
106-95-6,576-16-9,0.021
106-95-6,20776-45-8,0.016
106-95-6,14490-05-2,0.021
106-95-6,575-85-9,0.022
106-95-6,497871-47-3,0.0
106-95-6,712-08-3,0.02
106-95-6,31677-75-5,0.016
106-95-6,308359-33-3,0.0
106-95-6,144285-85-8,0.0
106-95-6,497871-10-0,0.0
106-95-6,497924-35-3,0.0
106-95-6,497924-37-5,0.0
106-95-6,497871-86-0,0.02
106-95-6,497871-85-9,0.02
106-95-6,497871-84-8,0.0
106-95-6,497871-83-7,0.0
106-95-6,497871-82-6,0.033
106-95-6,497871-81-5,0.007
106-95-6,497871-80-4,0.0
106-95-6,497871-79-1,0.006
106-95-6,497871-78-0,0.019
106-95-6,497871-77-9,0.019
106-95-6,497871-76-8,0.0
106-95-6,497871-75-7,0.0
106-95-6,497871-74-6,0.0
106-95-6,497871-73-5,0.032
106-95-6,497871-72-4,0.006
106-95-6,497871-71-3,0.006
106-95-6,497871-70-2,0.006
106-95-6,497871-69-9,0.0
106-95-6,497871-68-8,0.032
106-95-6,497871-67-7,0.033
106-95-6,497871-66-6,0.019
106-95-6,497871-65-5,0.0
106-95-6,497871-64-4,0.006
106-95-6,497871-63-3,0.0
106-95-6,497871-62-2,0.0
106-95-6,497871-61-1,0.0
106-95-6,497871-60-0,0.0
106-95-6,497871-59-7,0.007
106-95-6,497871-58-6,0.0
106-95-6,497871-57-5,0.0
106-95-6,497871-56-4,0.0
106-95-6,497871-55-3,0.0
106-95-6,497871-54-2,0.0
106-95-6,497871-53-1,0.007
106-95-6,497871-52-0,0.0
106-95-6,497871-51-9,0.0
106-95-6,497871-50-8,0.0
106-95-6,497871-49-5,0.006
106-95-6,497871-48-4,0.006
106-95-6,497871-46-2,0.031
106-95-6,497871-45-1,0.032
106-95-6,497871-44-0,0.018
106-95-6,497871-43-9,0.019
106-95-6,497871-42-8,0.0
106-95-6,497871-41-7,0.006
106-95-6,497871-40-6,0.0
106-95-6,497871-39-3,0.0
106-95-6,497871-38-2,0.0
106-95-6,497871-37-1,0.0
106-95-6,497871-36-0,0.007
106-95-6,497871-35-9,0.0
106-95-6,497871-34-8,0.0
106-95-6,497871-33-7,0.0
106-95-6,497871-31-5,0.0
106-95-6,497871-30-4,0.0
106-95-6,497871-28-0,0.007
106-95-6,497871-25-7,0.0
106-95-6,497871-20-2,0.0
106-95-6,497871-18-8,0.0
106-95-6,497871-15-5,0.006
106-95-6,497871-13-3,0.006
124-07-2,407-25-0,0.088
124-07-2,61-54-1,0.018
124-07-2,141-75-3,0.286
124-07-2,625-36-5,0.167
124-07-2,2937-50-0,0.111
124-07-2,608-07-1,0.032
124-07-2,17082-09-6,0.114
124-07-2,61-49-4,0.034
124-07-2,375-16-6,0.083
124-07-2,299-26-3,0.034
124-07-2,5130-24-5,0.088
124-07-2,304-52-9,0.049
124-07-2,1821-47-2,0.034
124-07-2,3610-36-4,0.05
124-07-2,1134-01-6,0.048
124-07-2,576-16-9,0.017
124-07-2,20776-45-8,0.027
124-07-2,14490-05-2,0.034
124-07-2,575-85-9,0.034
124-07-2,497871-47-3,0.025
124-07-2,712-08-3,0.032
124-07-2,31677-75-5,0.027
124-07-2,308359-33-3,0.031
124-07-2,144285-85-8,0.026
124-07-2,497871-10-0,0.024
124-07-2,497924-35-3,0.025
124-07-2,497924-37-5,0.019
124-07-2,497871-86-0,0.024
124-07-2,497871-85-9,0.024
124-07-2,497871-84-8,0.031
124-07-2,497871-83-7,0.031
124-07-2,497871-82-6,0.03
124-07-2,497871-81-5,0.051
124-07-2,497871-80-4,0.024
124-07-2,497871-79-1,0.098
124-07-2,497871-78-0,0.024
124-07-2,497871-77-9,0.024
124-07-2,497871-76-8,0.03
124-07-2,497871-75-7,0.03
124-07-2,497871-74-6,0.024
124-07-2,497871-73-5,0.03
124-07-2,497871-72-4,0.029
124-07-2,497871-71-3,0.036
124-07-2,497871-70-2,0.049
124-07-2,497871-69-9,0.023
124-07-2,497871-68-8,0.03
124-07-2,497871-67-7,0.03
124-07-2,497871-66-6,0.024
124-07-2,497871-65-5,0.024
124-07-2,497871-64-4,0.049
124-07-2,497871-63-3,0.026
124-07-2,497871-62-2,0.026
