node1,node2,similarity
110-91-8,153437-54-8,0.0
110-91-8,183322-30-7,0.0
110-91-8,183322-43-2,0.012
110-91-8,183322-41-0,0.012
110-91-8,183322-29-4,0.013
110-91-8,183322-27-2,0.013
110-91-8,183321-61-1,0.0
110-91-8,183321-59-7,0.0
110-91-8,183321-58-6,0.0
110-91-8,183321-57-5,0.0
110-91-8,183321-56-4,0.0
110-91-8,183321-55-3,0.0
110-91-8,183321-53-1,0.0
110-91-8,183321-52-0,0.0
110-91-8,183321-51-9,0.0
110-91-8,183320-98-1,0.0
110-91-8,183320-95-8,0.0
110-91-8,183320-91-4,0.0
110-91-8,183320-88-9,0.0
110-91-8,183320-84-5,0.0
110-91-8,183320-69-6,0.0
110-91-8,183320-66-3,0.0
110-91-8,183320-62-9,0.0
110-91-8,183320-59-4,0.013
110-91-8,183320-54-9,0.0
110-91-8,183320-47-0,0.053
110-91-8,183320-43-6,0.0
110-91-8,183320-38-9,0.0
110-91-8,183320-34-5,0.01
110-91-8,183320-19-6,0.0
110-91-8,183320-00-5,0.0
110-91-8,183319-96-2,0.0
110-91-8,183319-92-8,0.0
110-91-8,183319-88-2,0.0
110-91-8,183319-84-8,0.0
110-91-8,183319-80-4,0.0
110-91-8,183319-78-0,0.0
110-91-8,183319-66-6,0.0
110-91-8,183319-63-3,0.0
110-91-8,183319-60-0,0.0
110-91-8,183319-54-2,0.0
110-91-8,183319-51-9,0.0
110-91-8,183319-48-4,0.0
110-91-8,183319-46-2,0.0
110-91-8,183319-44-0,0.0
110-91-8,183319-42-8,0.028
110-91-8,183319-32-6,0.0
110-91-8,183319-30-4,0.0
110-91-8,183319-28-0,0.0
110-91-8,183319-24-6,0.0
110-91-8,183322-31-8,0.013
98-59-9,288-32-4,0.059
98-59-9,109-01-3,0.028
98-59-9,108-45-2,0.091
98-59-9,183321-74-6,0.072
98-59-9,540-37-4,0.086
98-59-9,6482-24-2,0.03
98-59-9,79-42-5,0.062
98-59-9,585-79-5,0.116
98-59-9,54060-30-9,0.07
98-59-9,3943-89-3,0.122
98-59-9,108-96-3,0.121
98-59-9,13790-39-1,0.094
98-59-9,55289-36-6,0.154
98-59-9,656-64-4,0.098
98-59-9,14860-64-1,0.07
98-59-9,60956-26-5,0.159
98-59-9,4403-36-5,0.196
98-59-9,19815-16-8,0.127
98-59-9,183322-18-1,0.082
98-59-9,179688-29-0,0.079
98-59-9,33786-89-9,0.086
98-59-9,19181-53-4,0.18
98-59-9,53449-14-2,0.105
98-59-9,19181-64-7,0.107
98-59-9,55496-52-1,0.111
98-59-9,183321-86-0,0.067
98-59-9,19815-17-9,0.127
98-59-9,183321-62-2,0.08
98-59-9,179688-26-7,0.092
98-59-9,183322-16-9,0.098
98-59-9,183322-33-0,0.132
98-59-9,77123-60-5,0.065
98-59-9,72700-23-3,0.07
98-59-9,183319-38-2,0.068
98-59-9,183320-29-8,0.067
98-59-9,183321-64-4,0.091
98-59-9,179246-15-2,0.086
98-59-9,183321-84-8,0.061
98-59-9,183322-47-6,0.119
98-59-9,183321-67-7,0.091
98-59-9,183321-13-3,0.068
98-59-9,183319-57-5,0.068
98-59-9,183321-83-7,0.079
98-59-9,183321-71-3,0.079
98-59-9,152536-17-9,0.119
98-59-9,77123-63-8,0.096
98-59-9,183321-78-0,0.078
98-59-9,183320-24-3,0.074
98-59-9,183321-82-6,0.074
98-59-9,183321-65-5,0.064
98-59-9,183321-60-0,0.098
98-59-9,183320-15-2,0.074
98-59-9,183322-34-1,0.12
98-59-9,183321-85-9,0.079
98-59-9,183320-72-1,0.069
98-59-9,183322-38-5,0.069
98-59-9,183321-89-3,0.077
98-59-9,183321-76-8,0.151
98-59-9,183320-08-3,0.08
98-59-9,183322-53-4,0.114
98-59-9,183322-32-9,0.089
98-59-9,183321-73-5,0.087
98-59-9,183319-72-4,0.076
98-59-9,183319-34-8,0.086
98-59-9,183322-19-2,0.075
98-59-9,183322-13-6,0.077
98-59-9,183322-12-5,0.077
98-59-9,183322-10-3,0.079
98-59-9,183322-08-9,0.08
